awardnumber,startfiscalyear,endfiscalyear,directcost,allocation_niicode,institution_niicode,project_length,field_niicode,institution_table_group,doi
23300181,2011,2013,14200000,0,82406,3,INT,8,10.4236/jbnb.2011.225061
23310094,2011,2013,14300000,0,14603,3,INT,1,10.1016/j.jcrysgro.2012.11.039
23310094,2011,2013,14300000,0,14603,3,INT,1,10.1016/j.ssc.2012.06.009
23310094,2011,2013,14300000,0,14603,3,INT,1,10.1380/jsssj.32.755
23310094,2011,2013,14300000,0,14603,3,INT,1,10.1063/1.3622586
23300167,2011,2013,14400000,0,15301,3,INT,1,10.1016/j.ejphar.2013.05.030
23300167,2011,2013,14400000,0,15301,3,INT,1,10.1253/circj.cj-11-0486
23300167,2011,2013,14400000,0,15301,3,INT,1,10.1016/j.pbiomolbio.2011.07.001
23300025,2011,2015,14800000,0,13901,5,INT,1,10.1007/978-3-319-12643-2_40
23300025,2011,2015,14800000,0,13901,5,INT,1,10.1109/compsac.2014.41
23300025,2011,2015,14800000,0,13901,5,INT,1,10.1109/compsac.2014.63
23300025,2011,2015,14800000,0,13901,5,INT,1,10.1109/saint.2012.48
23300025,2011,2015,14800000,0,13901,5,INT,1,10.1109/saint.2012.51
23300025,2011,2015,14800000,0,13901,5,INT,1,10.1109/icnss.2011.6059955
23300025,2011,2015,14800000,0,13901,5,INT,1,10.1109/saint.2011.70
23300099,2011,2014,6200000,0,13302,4,INT,1,10.1017/s0305000915000094
23300099,2011,2014,6200000,0,13302,4,INT,1,10.1371/journal.pone.0116494
23300099,2011,2014,6200000,0,13302,4,INT,1,10.1093/biomet/asu035
23300099,2011,2014,6200000,0,13302,4,INT,1,10.1371/journal.pone.0076242
23300099,2011,2014,6200000,0,13302,4,INT,1,10.1371/journal.pone.0047419
23300099,2011,2014,6200000,0,13302,4,INT,1,10.1109/kicss.2012.29
23300099,2011,2014,6200000,0,13302,4,INT,1,10.1007/978-94-007-4792-0_47
23300099,2011,2014,6200000,0,13302,4,INT,1,10.3389/conf.fncom.2011.52.00018
23300099,2011,2014,6200000,0,13302,4,INT,1,10.3389/conf.fncom.2011.52.00007
22300218,2010,2013,13800000,0,17702,4,INT,1,10.1249/mss.0b013e3182207ed8
23300349,2011,2013,16900000,0,83901,3,INT,9,10.1073/pnas.1111135109
23300349,2011,2013,16900000,0,83901,3,INT,9,10.1016/j.bbagen.2012.03.005
23300349,2011,2013,16900000,0,83901,3,INT,9,10.1053/j.gastro.2011.02.007
23300100,2011,2013,15400000,0,13901,3,INT,1,10.1527/tjsai.29.148
23300100,2011,2013,15400000,0,13901,3,INT,1,10.1080/10494820.2012.666668
23300100,2011,2013,15400000,0,13901,3,INT,1,10.1527/tjsai.26.536
22310094,2010,2013,6200000,0,14401,4,INT,1,10.1016/j.omega.2012.06.007
22310094,2010,2013,6200000,0,14401,4,INT,1,10.1504/ijams.2012.044869
22310040,2010,2012,13500000,0,12601,3,INT,1,10.1016/j.reprotox.2012.07.004
22310040,2010,2012,13500000,0,12601,3,INT,1,10.1111/j.1365-2605.2011.01190.x
22310040,2010,2012,13500000,0,12601,3,INT,1,10.1111/j.1464-410x.2011.10467.x
22310040,2010,2012,13500000,0,12601,3,INT,1,10.1016/j.ijheh.2011.09.005
22310040,2010,2012,13500000,0,12601,3,INT,1,10.1016/j.envint.2010.05.003
22300115,2010,2012,14000000,0,34519,3,INT,3,10.1002/glia.22436
22300115,2010,2012,14000000,0,34519,3,INT,3,10.1016/j.neulet.2012.09.007
22300115,2010,2012,14000000,0,34519,3,INT,3,10.1016/j.jchemneu.2012.07.003
22300115,2010,2012,14000000,0,34519,3,INT,3,10.1002/glia.22373
22300115,2010,2012,14000000,0,34519,3,INT,3,10.1186/1744-8069-8-8
22300115,2010,2012,14000000,0,34519,3,INT,3,10.1016/j.pain.2011.09.009
22300115,2010,2012,14000000,0,34519,3,INT,3,10.1002/cne.22588
22300115,2010,2012,14000000,0,34519,3,INT,3,10.1016/j.neures.2011.01.020
22300115,2010,2012,14000000,0,34519,3,INT,3,10.1186/1744-8069-7-41
22300115,2010,2012,14000000,0,34519,3,INT,3,10.1016/j.neulet.2011.08.058
22300115,2010,2012,14000000,0,34519,3,INT,3,10.1248/bpb.34.1163
22300115,2010,2012,14000000,0,34519,3,INT,3,10.1002/glia.20948
22300115,2010,2012,14000000,0,34519,3,INT,3,10.1002/cne.22238
22300115,2010,2012,14000000,0,34519,3,INT,3,10.1016/j.neuroscience.2010.05.058
22300115,2010,2012,14000000,0,34519,3,INT,3,10.1159/000310836
22300115,2010,2012,14000000,0,34519,3,INT,3,10.1111/j.1460-9568.2012.08142.x
23310064,2011,2013,14200000,0,14501,3,INT,1,10.1016/j.jlumin.2011.12.006
23310064,2011,2013,14200000,0,14501,3,INT,1,10.1016/j.optmat.2013.06.040
22300225,2010,2012,14400000,0,32689,3,INT,3,10.1080/15438627.2011.535769
23300315,2011,2013,14100000,0,12601,3,INT,1,10.1371/journal.pone.0088356
23300315,2011,2013,14100000,0,12601,3,INT,1,10.1016/j.jdermsci.2012.05.002
22300113,2010,2012,14000000,0,14301,3,INT,1,10.3389/fncir.2013.00075
22300113,2010,2012,14000000,0,14301,3,INT,1,10.3389/fncir.2013.00026
22300113,2010,2012,14000000,0,14301,3,INT,1,10.1007/s00429-012-0495-1
22300113,2010,2012,14000000,0,14301,3,INT,1,10.1002/cne.23277
22300113,2010,2012,14000000,0,14301,3,INT,1,10.1523/jneurosci.2255-12.2013
22300113,2010,2012,14000000,0,14301,3,INT,1,10.1162/neco_a_00341
22300113,2010,2012,14000000,0,14301,3,INT,1,10.1002/ar.22426
22300113,2010,2012,14000000,0,14301,3,INT,1,10.1111/j.1460-9568.2012.08027.x
22300113,2010,2012,14000000,0,14301,3,INT,1,10.1093/cercor/bhr356
22300113,2010,2012,14000000,0,14301,3,INT,1,10.1523/jneurosci.3139-11.2011
22300113,2010,2012,14000000,0,14301,3,INT,1,10.1093/cercor/bhs375
23300163,2011,2013,11100000,0,12602,3,INT,1,10.1299/jbse.8.139
23300163,2011,2013,11100000,0,12602,3,INT,1,10.1002/jbm.b.32913
23300163,2011,2013,11100000,0,12602,3,INT,1,10.1002/jbm.b.32855
23300314,2011,2014,9700000,0,82646,4,INT,10,10.1080/1360144x.2011.625622
23300131,2011,2013,15400000,0,14202,3,INT,1,10.1371/journal.pone.0052776
23300131,2011,2013,15400000,0,14202,3,INT,1,10.1074/jbc.m112.417600
23300131,2011,2013,15400000,0,14202,3,INT,1,10.1212/wnl.0b013e31823a0cfc
23300131,2011,2013,15400000,0,14202,3,INT,1,10.1371/journal.pone.0020427
23300131,2011,2013,15400000,0,14202,3,INT,1,10.1016/j.neuroscience.2011.03.071
22300265,2010,2014,14800000,0,34517,5,INT,3,10.6000/1927-3037.2013.02.03.1
22300310,2010,2012,13000000,0,14401,3,INT,1,10.1007/978-1-4614-6093-0_15
22300310,2010,2012,13000000,0,14401,3,INT,1,10.11339/jtm.30.1
22300310,2010,2012,13000000,0,14401,3,INT,1,10.1016/j.jep.2011.09.002
22300310,2010,2012,13000000,0,14401,3,INT,1,10.1254/fpj.140.71
23300058,2011,2013,7100000,0,14401,3,INT,1,10.1109/wi-iat.2013.112
23300058,2011,2013,7100000,0,14401,3,INT,1,10.1527/tjsai.26.324
23300133,2011,2014,15900000,0,14501,4,INT,1,10.1111/j.1460-9568.2012.08280.x
23300133,2011,2014,15900000,0,14501,4,INT,1,10.1016/j.pep.2012.10.006
23300133,2011,2014,15900000,0,14501,4,INT,1,10.1016/j.neulet.2012.12.002
23300133,2011,2014,15900000,0,14501,4,INT,1,10.1016/j.neulet.2013.01.030
23300133,2011,2014,15900000,0,14501,4,INT,1,10.1002/jnr.22740
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.biomaterials.2014.10.069
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1021/nn502125h
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.jconrel.2014.06.018
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1021/ja506194z
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.biomaterials.2014.05.041
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1002/marc.201400049
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.biomaterials.2014.02.016
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1038/ncomms4545
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.jconrel.2014.01.008
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1007/s13346-013-0175-6
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1021/nn4028294
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.biomaterials.2013.11.027
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.jconrel.2013.10.038
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1021/nn402662d
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1021/ja406406h
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1073/pnas.1301348110
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.jconrel.2013.03.016
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1002/anie.201300178
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1158/0008-5472.can-12-0366
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.biomaterials.2012.09.030
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.biomaterials.2012.09.077
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1021/ja304615y
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1021/nn301164a
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1021/bc300182y
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.jconrel.2012.05.005
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1021/nn300942b
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.jconrel.2012.01.038
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.biomaterials.2011.12.022
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.jconrel.2012.03.021
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.ijpharm.2011.12.022
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.jconrel.2011.07.026
23390009,2011,2014,14200000,0,12601,4,INT,1,10.3109/1061186x.2011.632010
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1038/nnano.2011.166
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.jconrel.2011.08.003
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.jconrel.2011.06.019
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1021/ja204466y
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1021/bm2006714
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.jconrel.2011.02.011
23390009,2011,2014,14200000,0,12601,4,INT,1,10.1016/j.biomaterials.2010.12.057
23310056,2011,2013,14500000,0,14301,3,INT,1,10.1099/mic.0.073494-0
23310056,2011,2013,14500000,0,14301,3,INT,1,10.1007/s12562-013-0685-7
23310056,2011,2013,14500000,0,14301,3,INT,1,10.1007/s00203-014-0980-4
23310056,2011,2013,14500000,0,14301,3,INT,1,10.1016/j.hal.2014.03.001
23310056,2011,2013,14500000,0,14301,3,INT,1,10.1128/aem.03751-12
23310056,2011,2013,14500000,0,14301,3,INT,1,10.1264/jsme2.me12037
23310056,2011,2013,14500000,0,14301,3,INT,1,10.1128/aem.00571-12
23310056,2011,2013,14500000,0,14301,3,INT,1,10.1007/s12562-011-0442-8
23310056,2011,2013,14500000,0,14301,3,INT,1,10.1186/1743-422x-8-427
23310056,2011,2013,14500000,0,14301,3,INT,1,10.1128/aem.00626-12
22310143,2010,2013,14500000,0,12601,4,INT,1,10.1007/s11284-011-0897-1
22310143,2010,2013,14500000,0,12601,4,INT,1,10.1016/j.baae.2012.02.004
22300220,2010,2012,12800000,0,82632,3,INT,10,10.1016/j.proeng.2012.04.015
22300220,2010,2012,12800000,0,82632,3,INT,10,10.1016/j.proeng.2012.04.017
22300220,2010,2012,12800000,0,82632,3,INT,10,10.1016/j.proeng.2012.04.030
22300220,2010,2012,12800000,0,82632,3,INT,10,10.1016/j.proeng.2012.04.038
22300220,2010,2012,12800000,0,82632,3,INT,10,10.1016/j.proeng.2012.04.132
22300220,2010,2012,12800000,0,82632,3,INT,10,10.1016/j.proeng.2012.04.134
23300226,2011,2014,14800000,0,34315,4,INT,3,10.1371/journal.pone.0093545
23300226,2011,2014,14800000,0,34315,4,INT,3,10.1096/fj.13-245480
23300226,2011,2014,14800000,0,34315,4,INT,3,10.1152/ajpendo.00302.2013
23300226,2011,2014,14800000,0,34315,4,INT,3,10.2337/db11-1462
23300226,2011,2014,14800000,0,34315,4,INT,3,10.1016/j.nut.2012.02.011
23300226,2011,2014,14800000,0,34315,4,INT,3,10.1186/1743-7075-9-47
23300226,2011,2014,14800000,0,34315,4,INT,3,10.4172/2155-6156.1000239
23300226,2011,2014,14800000,0,34315,4,INT,3,10.1152/japplphysiol.01161.2012
23300226,2011,2014,14800000,0,34315,4,INT,3,10.1093/gerona/glq182
23300226,2011,2014,14800000,0,34315,4,INT,3,10.1152/ajpendo.00564.2010
23300104,2011,2013,5900000,0,12601,3,INT,1,10.3390/e15104416
23300104,2011,2013,5900000,0,12601,3,INT,1,10.1214/12-ejs700
23300104,2011,2013,5900000,0,12601,3,INT,1,10.1007/s11222-012-9347-3
23300104,2011,2013,5900000,0,12601,3,INT,1,10.1016/j.jspi.2011.06.009
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1063/1.4870067
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1103/physrevlett.112.036804
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1038/srep03778
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1063/1.4861627
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1021/nn500059s
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1088/0953-8984/25/50/505304
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1002/pssb.201300295
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1126/science.1244358
23310096,2011,2013,14300000,0,82108,3,INT,10,10.7567/jjap.52.110105
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1103/physrevb.88.121402
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1063/1.4818627
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1103/physrevb.88.085419
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1039/c3nr03220e
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1021/nn402954e
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1021/nl4012529
23310096,2011,2013,14300000,0,82108,3,INT,10,10.7567/apex.6.073001
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1103/physrevlett.110.216601
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1063/1.4803041
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1021/nl304060g
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1063/1.4788818
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1021/nn305306n
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1038/srep00893
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1021/jp305521g
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1088/1367-2630/14/10/103007
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1021/nn304004s
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1103/physrevlett.109.116802
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1143/jjap.51.090104
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1021/nl301986q
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1021/nl3011897
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1021/nl3011726
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1103/physrevlett.109.036601
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1103/physrevb.85.235458
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1016/j.ssc.2012.04.021
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1016/j.ssc.2012.04.005
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1021/jz300176a
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1063/1.3685504
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1103/physrevb.85.073405
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1103/physrevlett.108.076601
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1103/physrevlett.108.016801
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1109/led.2011.2160611
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1063/1.3599708
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1021/nl200758b
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1002/pssr.201105190
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1143/jjap.50.04dh01
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1038/nmat3695
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1038/nature12186
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1038/nphys2272
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1111/j.1744-7402.2011.02626.x
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1016/j.diamond.2011.04.002
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1038/nmat2968
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1038/nphys2008
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1038/nphys2114
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1126/science.1211384
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1038/nphys2007
23310096,2011,2013,14300000,0,82108,3,INT,10,10.1126/science.1199595
22300073,2010,2012,14300000,0,12608,3,INT,1,10.1016/j.snb.2012.09.025
22300073,2010,2012,14300000,0,12608,3,INT,1,10.1109/tvcg.2013.40
22300073,2010,2012,14300000,0,12608,3,INT,1,10.1109/jsen.2012.2190506
22300073,2010,2012,14300000,0,12608,3,INT,1,10.1108/02602281111140047
23300354,2011,2013,17200000,0,14401,3,INT,1,10.1016/j.coi.2013.12.005
23300354,2011,2013,17200000,0,14401,3,INT,1,10.1097/cji.0000000000000017
23300354,2011,2013,17200000,0,14401,3,INT,1,10.1073/pnas.1316796110
23300354,2011,2013,17200000,0,14401,3,INT,1,10.1038/nature12331
23300354,2011,2013,17200000,0,14401,3,INT,1,10.1002/eji.201242800
23300354,2011,2013,17200000,0,14401,3,INT,1,10.3389/fimmu.2013.00190
23300354,2011,2013,17200000,0,14401,3,INT,1,10.2217/imt.13.35
23300354,2011,2013,17200000,0,14401,3,INT,1,10.1016/j.vaccine.2013.02.056
23300354,2011,2013,17200000,0,14401,3,INT,1,10.1038/bjc.2013.51
23300354,2011,2013,17200000,0,14401,3,INT,1,10.1016/j.exphem.2012.12.001
23300354,2011,2013,17200000,0,14401,3,INT,1,10.1002/ijc.27682
23300354,2011,2013,17200000,0,14401,3,INT,1,10.1182/blood-2011-09-379982
23300354,2011,2013,17200000,0,14401,3,INT,1,10.1158/0008-5472.can-11-3072
23300354,2011,2013,17200000,0,14401,3,INT,1,10.1097/cji.0b013e3182619cb4
23300354,2011,2013,17200000,0,14401,3,INT,1,10.1111/j.1349-7006.2012.02371.x
23300354,2011,2013,17200000,0,14401,3,INT,1,10.1002/ijc.26074
23300354,2011,2013,17200000,0,14401,3,INT,1,10.1002/ijc.25775
22300026,2010,2012,10500000,0,17102,3,INT,1,10.1002/cpe.1823
22300026,2010,2012,10500000,0,17102,3,INT,1,10.1016/j.compeleceng.2011.11.001
22300026,2010,2012,10500000,0,17102,3,INT,1,10.1007/978-3-642-22497-3_16
22300026,2010,2012,10500000,0,17102,3,INT,1,10.1007/978-3-642-24316-5_12
22300026,2010,2012,10500000,0,17102,3,INT,1,10.1007/978-3-642-24316-5_10
22300026,2010,2012,10500000,0,17102,3,INT,1,10.1587/transfun.e94.a.150
22300026,2010,2012,10500000,0,17102,3,INT,1,10.1007/978-3-642-16825-3_22
22300026,2010,2012,10500000,0,17102,3,INT,1,10.1007/s11432-010-4012-y
23300251,2011,2014,14800000,0,12102,4,INT,1,10.3164/jcbn.13-62
23300251,2011,2014,14800000,0,12102,4,INT,1,10.1186/1479-5868-10-30
23300251,2011,2014,14800000,0,12102,4,INT,1,10.1620/tjem.229.11
23300140,2011,2013,8500000,0,12601,3,INT,1,10.1016/j.cell.2013.08.033
23300140,2011,2013,8500000,0,12601,3,INT,1,10.1002/dneu.22103
23300140,2011,2013,8500000,0,12601,3,INT,1,10.1038/srep01716
23310095,2011,2013,14700000,0,15401,3,INT,1,10.1364/oe.22.013263
23300297,2011,2013,14300000,0,12612,3,INT,1,10.1007/978-3-642-39112-5_92
23300297,2011,2013,14300000,0,12612,3,INT,1,10.1007/978-3-642-30950-2_110
23300297,2011,2013,14300000,0,12612,3,INT,1,10.1504/ijkwi.2012.048163
23300297,2011,2013,14300000,0,12612,3,INT,1,10.1007/978-3-642-23851-2_50
23300206,2011,2013,13000000,0,12501,3,INT,1,10.1142/s0219519412400222
23300206,2011,2013,13000000,0,12501,3,INT,1,10.1186/1743-0003-9-33
23300217,2011,2013,15000000,0,15401,3,INT,1,10.1152/ajpregu.00538.2013
