Title,Authors,Source Title,Publication Date,Publication Year,Volume,Issue,Beginning Page,Ending Page,Article Number,doi,Conference Title,Conference Date,Total Citations,Average per Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,ave3,ave5
CIC-rearranged Sarcomas A Study of 20 Cases and Comparisons With Ewing Sarcomas,"Yoshida, Akihiko; Goto, Keisuke; Kodaira, Makoto; Kobayashi, Eisuke; Kawamoto, Hiroshi; Mori, Taisuke; Yoshimoto, Seiichi; Endo, Otone; Kodama, Narihito; Kushima, Ryoji; Hiraoka, Nobuyoshi; Motoi, Toru; Kawai, Akira",AMERICAN JOURNAL OF SURGICAL PATHOLOGY,MAR 3 2016,2016,40,3,313,323,,10.1097/PAS.0000000000000570,,,97,12.13,0,0,0,0,0,0,0,7,15,10,12,16,19,18,0,10.66666667,12
A significant subgroup of resectable gallbladder cancer patients has an HER2 positive status,"Yoshida, Hiroshi; Shimada, Kazuaki; Kosuge, Tomoo; Hiraoka, Nobuyoshi",VIRCHOWS ARCHIV,APR 2016,2016,468,4,431,439,,10.1007/s00428-015-1898-1,,,28,3.5,0,0,0,0,0,0,0,3,1,3,2,10,6,3,0,2.333333333,3.8
SMYD2 overexpression is associated with tumor cell proliferation and a worse outcome in human papillomavirus-unrelated nonmultiple head and neck carcinomas,"Ohtomo-Oda, Rie; Komatsu, Shuhei; Mori, Taisuke; Sekine, Shigeki; Hirajima, Shoji; Yoshimoto, Seiichi; Kanai, Yae; Otsuji, Eigo; Ikeda, Eiji; Tsuda, Hitoshi",HUMAN PATHOLOGY,MAR 2016,2016,49,,145,155,,10.1016/j.humpath.2015.08.025,,,23,2.88,0,0,0,0,0,0,0,2,1,2,8,2,2,6,0,1.666666667,3
Efficacy of adjuvant chemotherapy for non-small cell lung cancer assessed by metastatic potential associated with ACTN4,"Miura, Nami; Kamita, Masahiro; Kakuya, Takanori; Fujiwara, Yutaka; Tsuta, Koji; Shiraishi, Hideaki; Takeshita, Fumitaka; Ochiya, Takahiro; Shoji, Hirokazu; Huang, Wilber; Ohe, Yuichiro; Yamada, Tesshi; Honda, Kazufumi",ONCOTARGET,MAY 31 2016,2016,7,22,33165,33178,,10.18632/oncotarget.8890,,,17,2.13,0,0,0,0,0,0,0,0,4,1,3,2,1,5,1,1.666666667,2
Patterns of recurrence after selective postoperative radiation therapy for patients with head and neck squamous cell carcinoma,"Murakami, Naoya; Matsumoto, Fumihiko; Yoshimoto, Seiichi; Ito, Yoshinori; Mori, Taisuke; Ueno, Takao; Tuchida, Keisuke; Kashihara, Tairo; Kobayashi, Kazuma; Harada, Ken; Kitaguchi, Mayuka; Sekii, Shuhei; Umezawa, Rei; Takahashi, Kana; Inaba, Koji; Igaki, Hiroshi; Itami, Jun",BMC CANCER,MAR 7 2016,2016,16,,,,192,10.1186/s12885-016-2229-x,,,6,0.75,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0.4
Pubertal timing and a family history of hypertension: Prospective cohort study,"Zheng, Wei; Suzuki, Kohta; Sato, Miri; Yokomichi, Hiroshi; Shinohara, Ryoji; Yamagata, Zentaro",PEDIATRICS INTERNATIONAL,APR 2016,2016,58,4,284,289,,10.1111/ped.12821,,,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Retrial queues with balanced call blending: analysis of single-server and multiserver model,"Tuan Phung-Duc; Rogiest, Wouter; Takahashi, Yutaka; Bruneel, Herwig",ANNALS OF OPERATIONS RESEARCH,APR 2016,2016,239,2,429,449,,10.1007/s10479-014-1598-2,,,18,2.25,0,0,0,0,0,0,1,4,1,1,4,2,2,2,1,2,2.4
DISCOVERY OF X-RAY EMISSION FROM THE GALACTIC SUPERNOVA REMNANT G32.8-0.1 WITH SUZAKU,"Bamba, Aya; Terada, Yukikatsu; Hewitt, John; Petre, Robert; Angelini, Lorella; Safi-Harb, Samar; Zhou, Ping; Bocchino, Fabrizio; Sawada, Makoto",ASTROPHYSICAL JOURNAL,FEB 10 2016,2016,818,1,,,63,10.3847/0004-637X/818/1/63,,,17,2.13,0,0,0,0,0,0,0,1,2,8,4,1,1,0,0,3.666666667,3.2
New identification of the mixed-morphology supernova remnant G298.6-0.0 with possible gamma-ray association,"Bamba, Aya; Sawada, Makoto; Nakano, Yuto; Terada, Yukikatsu; Hewitt, John; Petre, Robert; Angelini, Lorella",PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN,JUN 2016,2016,68,,,,S5,10.1093/pasj/psv096,,,9,1.13,0,0,0,0,0,0,0,2,1,3,0,0,1,2,0,2,1.2
Uranium separation from a simulant fuel debris solution using a benzimidazole-type anion exchange resin,"Kitagaki, Toru; Kaneshiki, Toshitaka; Nomura, Masao; Suzuki, Tatsuya",JOURNAL OF NUCLEAR SCIENCE AND TECHNOLOGY,2016,2016,53,10,1639,1646,,10.1080/00223131.2016.1150219,,,8,1,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,1,1.2
Purification and properties of 4-methyl-5-hydroxyethylthiazole kinase from Escherichia coli,"Tani, Yasushi; Kimura, Keisuke; Mihara, Hisaaki",BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY,MAR 3 2016,2016,80,3,514,517,,10.1080/09168451.2015.1104239,,,4,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0.333333333,0.2
Antipsychotics can induce pre-shock in very elderly patients: a report of two cases,"Ueda, Satoshi; Omori, Ataru; Shioya, Touko; Okubo, Yoshiro",PSYCHOGERIATRICS,JAN 2016,2016,16,1,73,75,,10.1111/psyg.12119,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Assessment of biomass recovery and soil carbon storage of fallow forests after swidden cultivation in the Bago Mountains, Myanmar","Chan, Nyein; Takeda, Shinya; Suzuki, Reiji; Yamamoto, Sota",NEW FORESTS,JUL 2016,2016,47,4,565,585,,10.1007/s11056-016-9531-y,,,19,2.38,0,0,0,0,0,0,0,0,3,4,2,5,4,1,0,2.333333333,2.8
Flowering phenology and mating success of the heterodichogamous tree Machilus thunbergii Sieb. et Zucc (Lauraceae),"Watanabe, Shuntaro; Noma, Naohiko; Nishida, Takayoshi",PLANT SPECIES BIOLOGY,JAN 2016,2016,31,1,29,37,,10.1111/1442-1984.12078,,,10,1.25,0,0,0,0,0,0,0,1,2,2,0,4,1,0,0,1.666666667,1.8
Estimating the latent number of types in growing corpora with reduced cost-accuracy trade-off,"Hidaka, Shohei",JOURNAL OF CHILD LANGUAGE,JAN 2016,2016,43,1,107,134,,10.1017/S0305000915000094,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The biological role of actinin-4 (ACTN4) in malignant phenotypes of cancer,"Honda, Kazufumi",CELL AND BIOSCIENCE,AUG 18 2015,2015,5,,,,41,10.1186/s13578-015-0031-0,,,72,8,0,0,0,0,0,0,1,5,8,12,10,13,12,10,1,4.666666667,7.2
Frequent MED12 mutations in phyllodes tumours of the breast,"Yoshida, M.; Sekine, S.; Ogawa, R.; Yoshida, H.; Maeshima, A.; Kanai, Y.; Kinoshita, T.; Ochiai, A.",BRITISH JOURNAL OF CANCER,MAY 12 2015,2015,112,10,1703,1708,,10.1038/bjc.2015.116,,,65,7.22,0,0,0,0,0,0,6,14,10,7,8,10,4,6,0,10,9
Plasma biomarker for detection of early stage pancreatic cancer and risk factors for pancreatic malignancy using antibodies for apolipoprotein-All isoforms,"Honda, Kazufumi; Kobayashi, Michimoto; Okusaka, Takuji; Rinaudo, Jo Ann; Huang, Ying; Marsh, Tracey; Sanada, Mitsuaki; Sasajima, Yoshiyuki; Nakamori, Shoji; Shimahara, Masashi; Ueno, Takaaki; Tsuchida, Akihiko; Sata, Naohiro; Ioka, Tatsuya; Yasunami, Yohichi; Kosuge, Tomoo; Miura, Nami; Kamita, Masahiro; Sakamoto, Takako; Shoji, Hirokazu; Jung, Giman; Srivastava, Sudhir; Yamada, Tesshi",SCIENTIFIC REPORTS,NOV 9 2015,2015,5,,,,15921,10.1038/srep15921,,,50,5.56,0,0,0,0,0,0,0,5,7,2,7,9,15,5,0,4,4.2
Clinical significance of tumor-infiltrating immune cells focusing on BTLA and Cbl-b in patients with gallbladder cancer,"Oguro, Seiji; Ino, Yoshinori; Shimada, Kazuaki; Hatanaka, Yutaka; Matsuno, Yoshihiro; Esaki, Minoru; Nara, Satoshi; Kishi, Yoji; Kosuge, Tomoo; Hiraoka, Nobuyoshi",CANCER SCIENCE,DEC 2015,2015,106,12,1750,1760,,10.1111/cas.12825,,,44,4.89,0,0,0,0,0,0,0,1,5,4,6,7,13,7,1,2,3.2
TERT promoter mutations are frequent and show association with MED12 mutations in phyllodes tumors of the breast,"Yoshida, Masayuki; Ogawa, Reiko; Yoshida, Hiroshi; Maeshima, Akiko; Kanai, Yae; Kinoshita, Takayuki; Hiraoka, Nobuyoshi; Sekine, Shigeki",BRITISH JOURNAL OF CANCER,OCT 20 2015,2015,113,8,1244,1248,,10.1038/bjc.2015.326,,,40,4.44,0,0,0,0,0,0,0,4,2,8,7,5,7,6,1,2,4.2
"Activating GNAS and KRAS mutations in gastric foveolar metaplasia, gastric heterotopia, and adenocarcinoma of the duodenum","Matsubara, A.; Ogawa, R.; Suzuki, H.; Oda, I.; Taniguchi, H.; Kanai, Y.; Kushima, R.; Sekine, S. S",BRITISH JOURNAL OF CANCER,APR 14 2015,2015,112,8,1398,1404,,10.1038/bjc.2015.104,,,39,4.33,0,0,0,0,0,0,1,1,4,5,9,4,10,5,0,2,4
Mutations in COG2 encoding a subunit of the conserved oligomeric golgi complex cause a congenital disorder of glycosylation,"Kodera, H.; Ando, N.; Yuasa, I.; Wada, Y.; Tsurusaki, Y.; Nakashima, M.; Miyake, N.; Saitoh, S.; Matsumoto, N.; Saitsu, H.",CLINICAL GENETICS,MAY 2015,2015,87,5,455,460,,10.1111/cge.12417,,,38,4.22,0,0,0,0,0,0,3,4,5,6,6,6,6,2,0,4,4.8
Re-appraisal of risk classifications for primary gastrointestinal stromal tumors (GISTs) after complete resection: indications for adjuvant therapy,"Yanagimoto, Yoshitomo; Takahashi, Tsuyoshi; Muguruma, Kazuya; Toyokawa, Takahiro; Kusanagi, Hiroshi; Omori, Takeshi; Masuzawa, Toru; Tanaka, Koji; Hirota, Seiichi; Nishida, Toshirou",GASTRIC CANCER,APR 2015,2015,18,2,426,433,,10.1007/s10120-014-0386-7,,,32,3.56,0,0,0,0,0,0,2,4,3,7,5,4,3,3,1,3,4.2
Employee commitment to corporate globalization: The role of English language proficiency and human resource practices,"Yamao, Sachiko; Sekiguchi, Tomoki",JOURNAL OF WORLD BUSINESS,JAN 2015,2015,50,1,168,179,,10.1016/j.jwb.2014.03.001,,,32,3.56,0,0,0,0,0,0,1,5,4,3,6,8,3,2,0,3.333333333,3.8
Transferrin variants: Pitfalls in the diagnostics of Congenital disorders of glycosylation,"Zuhlsdorf, Andrea; Park, Julien Heinrich; Wada, Yoshinao; Rust, Stephan; Reunert, Janine; DuChesne, Ingrid; Gruneberg, Marianne; Marquardt, Thorsten",CLINICAL BIOCHEMISTRY,JAN 2015,2015,48,1-2,11,13,,10.1016/j.clinbiochem.2014.09.022,,,28,3.11,0,0,0,0,0,0,3,8,2,5,3,3,3,1,0,4.333333333,4.2
ACTN4 copy number increase as a predictive biomarker for chemoradiotherapy of locally advanced pancreatic cancer,"Watanabe, T.; Ueno, H.; Watabe, Y.; Hiraoka, N.; Morizane, C.; Itami, J.; Okusaka, T.; Miura, N.; Kakizaki, T.; Kakuya, T.; Kamita, M.; Tsuchida, A.; Nagakawa, Y.; Wilber, H.; Yamada, T.; Honda, K.",BRITISH JOURNAL OF CANCER,FEB 17 2015,2015,112,4,704,713,,10.1038/bjc.2014.623,,,27,3,0,0,0,0,0,0,3,3,4,4,2,4,3,4,0,3.333333333,3.2
Epigenetic clustering of gastric carcinomas based on DNA methylation profiles at the precancerous stage: its correlation with tumor aggressiveness and patient outcome,"Yamanoi, Kazuhiro; Arai, Eri; Tian, Ying; Takahashi, Yoriko; Miyata, Sayaka; Sasaki, Hiroki; Chiwaki, Fumiko; Ichikawa, Hitoshi; Sakamoto, Hiromi; Kushima, Ryoji; Katai, Hitoshi; Yoshida, Teruhiko; Sakamoto, Michiie; Kanai, Yae",CARCINOGENESIS,MAY 2015,2015,36,5,509,520,,10.1093/carcin/bgv013,,,26,2.89,0,0,0,0,0,0,1,5,2,4,7,3,2,2,0,2.666666667,3.8
The ecosystem approach to health is a promising strategy in international development: lessons from Japan and Laos,"Asakura, Takashi; Mallee, Hein; Tomokawa, Sachi; Moji, Kazuhiko; Kobayashi, Jun",GLOBALIZATION AND HEALTH,FEB 16 2015,2015,11,,,,3,10.1186/s12992-015-0093-0,,,17,1.89,0,0,0,0,0,0,0,1,1,3,3,4,5,0,0,0.666666667,1.6
Developmental trajectories of verbal and visuospatial abilities in healthy older adults: Comparison of the hemisphere asymmetry reduction in older adults model and the right hemi-ageing model,"Hatta, Takeshi; Iwahara, Akihiko; Hatta, Taketoshi; Ito, Emi; Hatta, Junko; Hotta, Chie; Nagahara, Naoko; Fujiwara, Kazumi; Hamajima, Nobuyuki",LATERALITY,JAN 2 2015,2015,20,1,69,81,,10.1080/1357650X.2014.917656,,,13,1.44,0,0,0,0,0,0,1,1,0,2,0,3,4,2,0,0.666666667,0.8
RESIDENTIAL PROPERTY PRICE INDICES FOR TOKYO,"Diewert, Erwin; Shimizu, Chihiro",MACROECONOMIC DYNAMICS,DEC 2015,2015,19,8,1659,1714,,10.1017/S1365100514000042,,,10,1.11,0,0,0,0,0,0,0,1,0,1,2,1,3,2,0,0.333333333,0.8
